attributes,geometry
"{'OBJECTID': 57, 'Province_State': 'Parana', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -25.2521, 'Long_': -52.0215, 'Confirmed': 799813, 'Recovered': 567040, 'Deaths': 14969, 'Active': 217804, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Parana, Brazil'}","{'x': -52.021499999999946, 'y': -25.252099999999928}"
"{'OBJECTID': 58, 'Province_State': 'Pernambuco', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -8.8137, 'Long_': -36.9541, 'Confirmed': 331326, 'Recovered': 282616, 'Deaths': 11698, 'Active': 37012, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Pernambuco, Brazil'}","{'x': -36.95409999999998, 'y': -8.813699999999926}"
"{'OBJECTID': 59, 'Province_State': 'Piaui', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -7.7183, 'Long_': -42.7289, 'Confirmed': 193411, 'Recovered': 189251, 'Deaths': 3817, 'Active': 343, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Piaui, Brazil'}","{'x': -42.72889999999995, 'y': -7.718299999999942}"
"{'OBJECTID': 60, 'Province_State': 'Rio Grande do Norte', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -5.4026, 'Long_': -36.9541, 'Confirmed': 185208, 'Recovered': 138506, 'Deaths': 4168, 'Active': 42534, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Rio Grande do Norte, Brazil'}","{'x': -36.95409999999998, 'y': -5.40259999999995}"
"{'OBJECTID': 61, 'Province_State': 'Rio Grande do Sul', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -30.0346, 'Long_': -51.2177, 'Confirmed': 793008, 'Recovered': 745589, 'Deaths': 17157, 'Active': 30262, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Rio Grande do Sul, Brazil'}","{'x': -51.21769999999998, 'y': -30.034599999999955}"
"{'OBJECTID': 62, 'Province_State': 'Rio de Janeiro', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -22.9068, 'Long_': -43.1729, 'Confirmed': 623460, 'Recovered': 580583, 'Deaths': 35180, 'Active': 7697, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Rio de Janeiro, Brazil'}","{'x': -43.17289999999997, 'y': -22.906799999999976}"
"{'OBJECTID': 63, 'Province_State': 'Rondonia', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -11.5057, 'Long_': -63.5806, 'Confirmed': 176207, 'Recovered': 153228, 'Deaths': 3727, 'Active': 19252, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Rondonia, Brazil'}","{'x': -63.58059999999995, 'y': -11.505699999999932}"
"{'OBJECTID': 64, 'Province_State': 'Roraima', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -2.7376, 'Long_': -62.0751, 'Confirmed': 87649, 'Recovered': 81632, 'Deaths': 1281, 'Active': 4736, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Roraima, Brazil'}","{'x': -62.07509999999997, 'y': -2.7375999999999294}"
"{'OBJECTID': 65, 'Province_State': 'Santa Catarina', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -27.2423, 'Long_': -50.2189, 'Confirmed': 767652, 'Recovered': 726073, 'Deaths': 9651, 'Active': 31928, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Santa Catarina, Brazil'}","{'x': -50.21889999999996, 'y': -27.242299999999943}"
"{'OBJECTID': 66, 'Province_State': 'Sao Paulo', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -23.5505, 'Long_': -46.6333, 'Confirmed': 2311101, 'Recovered': 2013250, 'Deaths': 67602, 'Active': 230249, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Sao Paulo, Brazil'}","{'x': -46.63329999999996, 'y': -23.550499999999943}"
